width_um,wavelength_um,mode_id,neff,guided
0.3,1.55,0,1.671733,1
0.3,1.55,1,1.573365,1
0.3,1.55,2,1.435689,0
0.3,1.55,3,1.434339,0
0.35,1.55,0,1.767855,1
0.35,1.55,1,1.599879,1
0.35,1.55,2,1.43628,0
0.35,1.55,3,1.434688,0
0.4,1.55,0,1.850418,1
0.4,1.55,1,1.622397,1
0.4,1.55,2,1.444712,1
0.4,1.55,3,1.436661,0
0.45,1.55,0,1.920645,1
0.45,1.55,1,1.640965,1
0.45,1.55,2,1.473753,1
0.45,1.55,3,1.436985,0
0.5,1.55,0,1.983313,1
0.5,1.55,1,1.657402,1
0.5,1.55,2,1.512623,1
0.5,1.55,3,1.437344,0
0.55,1.55,0,2.03847,1
0.55,1.55,1,1.671907,1
0.55,1.55,2,1.559325,1
0.55,1.55,3,1.443524,1
0.6,1.55,0,2.08659,1
0.6,1.55,1,1.68467,1
0.6,1.55,2,1.610472,1
0.6,1.55,3,1.464974,1
0.65,1.55,0,2.126209,1
0.65,1.55,1,1.695599,1
0.65,1.55,2,1.66034,1
0.65,1.55,3,1.485882,1
0.7,1.55,0,2.159629,1
0.7,1.55,1,1.707681,1
0.7,1.55,2,1.704808,1
0.7,1.55,3,1.505029,1
0.75,1.55,0,2.189641,1
0.75,1.55,1,1.754314,1
0.75,1.55,2,1.713204,1
0.75,1.55,3,1.523068,1
0.8,1.55,0,2.216384,1
0.8,1.55,1,1.799345,1
0.8,1.55,2,1.72081,1
0.8,1.55,3,1.540014,1
0.85,1.55,0,2.240102,1
0.85,1.55,1,1.842197,1
0.85,1.55,2,1.727664,1
0.85,1.55,3,1.555871,1
0.9,1.55,0,2.259976,1
0.9,1.55,1,1.880455,1
0.9,1.55,2,1.733638,1
0.9,1.55,3,1.572879,1
